lat(deg),lon(deg),TinJan,TinFeb,TinMar,TinApr,TinMay,TinJun,TinJul,TinAug,TinSep,TinOct,TinNov,TinDec
50,170,-3,-3,-2,0,3,6,9,11,9,5,1,-2
60,170,-15,-15,-13,-7,1,8,12,11,7,-2,-10,-15
70,170,-32,-31,-25,-16,-2,9,12,9,2,-11,-24,-31
80,170,-29,-29,-27,-19,-8,0,4,3,-1,-10,-21,-26
90,170,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,180,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,180,-10,-20,-33,-37,-37,-38,-40,-39,-38,-28,-18,-10
-70,180,-1,-5,-11,-17,-19,-20,-22,-22,-20,-15,-8,-2
-60,180,8,8,8,7,5,4,4,4,4,5,5,7
-50,180,11,11,10,9,8,6,6,6,7,8,9,11
-40,180,19,19,17,15,13,10,10,10,12,14,15,17
-30,180,21,22,21,19,18,16,15,15,15,16,18,20
-20,180,27,27,27,26,25,24,23,23,24,24,26,26
-10,180,28,28,28,29,28,28,28,28,28,28,28,28
0,180,28,28,28,28,28,28,28,28,29,29,29,28
10,180,28,28,28,28,28,28,28,28,28,28,28,28
20,180,20,20,20,21,23,25,27,27,27,25,23,22
30,180,20,20,20,21,23,25,26,27,27,25,23,21
40,180,17,17,17,18,19,22,24,24,24,22,20,18
50,180,1,1,1,3,5,7,9,11,9,6,3,1
60,180,-20,-22,-19,-13,-2,6,11,10,4,-5,-13,-19
70,180,-22,-23,-22,-16,-5,1,4,4,0,-6,-13,-20
80,180,-22,-24,-23,-16,-6,1,4,3,0,-6,-14,-20
90,180,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
