lat(deg),lon(deg),TinJan,TinFeb,TinMar,TinApr,TinMay,TinJun,TinJul,TinAug,TinSep,TinOct,TinNov,TinDec
40,-40,14,13,14,15,16,18,21,22,21,18,16,15
50,-40,-3,-4,-2,2,6,10,15,16,12,8,4,-1
60,-40,-5,-5,-3,0,3,6,7,8,5,2,-1,-3
70,-40,-17,-18,-17,-12,-4,0,3,2,-1,-9,-14,-16
80,-40,-27,-28,-28,-20,-8,0,3,2,-6,-15,-22,-25
90,-40,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,-30,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,-30,-14,-23,-32,-36,-37,-37,-38,-40,-37,-31,-22,-14
-70,-30,-3,-6,-11,-15,-17,-20,-22,-21,-21,-15,-8,-4
-60,-30,1,1,0,-2,-5,-8,-10,-9,-6,-3,-1,0
-50,-30,2,3,2,-1,-4,-7,-9,-7,-5,-2,0,1
-40,-30,15,16,15,14,12,11,10,10,10,11,13,15
-30,-30,27,28,27,26,24,22,22,22,23,24,25,26
-20,-30,27,27,27,26,24,23,23,23,23,24,25,26
-10,-30,28,28,28,28,27,26,25,25,26,27,28,28
0,-30,27,27,27,27,27,27,26,26,26,27,27,27
10,-30,22,21,22,22,23,24,25,26,27,26,25,23
20,-30,21,21,21,22,22,24,25,26,27,26,24,22
30,-30,15,14,15,15,17,19,21,22,21,19,17,16
40,-30,15,14,15,15,17,19,21,22,21,19,17,16
50,-30,13,13,13,14,16,18,20,21,20,18,15,14
60,-30,0,1,1,3,6,9,11,10,8,5,2,1
70,-30,-9,-10,-10,-6,0,3,6,5,2,-2,-5,-8
80,-30,-26,-27,-27,-20,-8,0,4,2,-6,-15,-22,-24
90,-30,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,-20,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,-20,-13,-22,-30,-34,-35,-36,-37,-38,-36,-29,-20,-13
-70,-20,-3,-7,-11,-15,-18,-21,-22,-22,-21,-16,-9,-4
-60,-20,-3,-6,-10,-14,-17,-19,-21,-20,-19,-14,-8,-3
-50,-20,13,13,13,11,10,8,7,7,8,9,11,12
-40,-20,15,16,15,14,12,12,11,10,10,12,13,15
-30,-20,16,16,16,15,13,12,11,11,11,12,13,15
-20,-20,26,26,27,27,26,25,25,24,24,24,24,25
-10,-20,26,27,27,27,27,26,25,24,24,24,24,25
0,-20,26,27,27,27,27,26,25,24,24,24,24,25
10,-20,24,24,25,25,26,28,27,27,27,28,27,24
20,-20,19,20,20,20,21,22,23,24,25,24,22,20
30,-20,18,18,18,19,20,21,23,24,24,22,20,19
40,-20,14,14,14,15,16,19,21,22,21,19,17,15
50,-20,8,7,8,9,11,14,15,15,14,12,9,8
60,-20,1,2,2,4,6,9,10,10,8,5,3,2
70,-20,-11,-12,-11,-8,-1,3,6,6,2,-3,-8,-10
80,-20,-22,-24,-23,-17,-7,0,3,1,-4,-13,-19,-21
90,-20,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,-10,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,-10,-13,-22,-30,-34,-35,-36,-37,-38,-36,-29,-20,-13
-70,-10,-3,-6,-11,-15,-17,-20,-22,-22,-21,-16,-8,-4
-60,-10,-3,-6,-10,-15,-17,-20,-21,-21,-20,-15,-8,-3
-50,-10,13,14,13,11,9,8,7,7,8,9,11,12
-40,-10,15,15,14,13,12,11,10,10,10,11,12,14
-30,-10,18,18,18,17,16,15,14,13,14,15,16,17
-20,-10,22,23,23,23,22,20,19,19,19,19,20,21
-10,-10,26,26,27,27,26,25,25,24,24,24,24,25
0,-10,26,27,27,27,27,26,25,25,25,26,26,26
10,-10,25,28,31,32,31,28,26,26,26,27,27,25
20,-10,24,26,29,31,33,33,31,30,30,31,28,25
30,-10,14,15,17,18,20,21,23,24,22,21,18,15
40,-10,10,11,13,14,16,19,21,21,20,17,13,11
50,-10,8,7,8,9,11,14,15,15,14,12,9,8
60,-10,4,4,4,5,7,9,11,11,10,8,6,5
70,-10,-5,-6,-6,-4,0,3,6,6,4,0,-3,-5
80,-10,-22,-24,-23,-17,-7,0,3,1,-4,-13,-19,-21
90,-10,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,0,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,0,-11,-19,-27,-31,-32,-33,-34,-35,-33,-27,-18,-11
-70,0,-12,-19,-27,-30,-31,-32,-34,-34,-33,-27,-18,-12
-60,0,-2,-5,-10,-14,-17,-19,-21,-21,-20,-15,-8,-3
-50,0,15,15,14,13,11,10,9,9,9,10,12,14
-40,0,15,15,15,13,12,11,10,10,10,11,12,14
-30,0,15,15,15,14,12,11,10,10,10,11,12,14
-20,0,20,21,21,20,19,17,16,16,16,17,18,19
-10,0,21,22,23,22,20,18,17,17,18,18,19,20
0,0,27,28,28,28,28,26,25,25,25,26,27,27
10,0,28,30,32,31,30,28,26,26,26,27,28,27
20,0,15,18,21,26,29,31,31,30,29,26,20,16
30,0,12,15,19,24,29,34,37,36,32,25,18,13
40,0,10,11,13,15,18,23,25,26,23,19,14,11
50,0,5,5,7,9,13,15,17,18,16,12,9,6
60,0,4,4,4,6,8,10,12,12,11,8,6,5
70,0,-4,-4,-4,-2,1,4,6,7,5,2,-1,-3
80,0,-18,-19,-19,-14,-6,0,3,2,-3,-10,-15,-18
90,0,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,10,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,10,-12,-20,-28,-32,-33,-33,-34,-35,-33,-27,-19,-12
-70,10,-1,-4,-8,-12,-14,-16,-18,-19,-18,-13,-6,-1
-60,10,-1,-3,-7,-11,-13,-14,-16,-17,-16,-12,-6,-1
-50,10,20,20,19,17,16,14,14,14,14,16,17,19
-40,10,20,20,19,17,15,14,13,13,14,16,17,19
-30,10,19,18,18,17,16,15,14,14,14,15,16,18
-20,10,23,23,22,21,18,16,15,16,19,21,22,23
-10,10,26,27,27,27,25,23,21,21,23,24,25,26
0,10,27,27,27,27,27,26,25,25,26,26,26,27
10,10,22,25,29,32,32,31,28,27,28,29,26,23
20,10,18,21,26,31,34,35,34,33,33,29,24,20
30,10,11,14,18,22,27,32,33,33,30,24,17,12
40,10,11,11,12,14,18,22,25,25,22,19,15,12
50,10,0,1,5,9,13,17,18,18,14,9,4,1
60,10,-5,-5,-1,4,10,14,16,15,11,5,0,-4
70,10,-1,-2,-1,2,6,9,11,11,8,4,1,-1
80,10,-12,-13,-13,-10,-3,2,6,5,1,-5,-8,-11
90,10,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,20,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,20,-21,-31,-41,-46,-47,-47,-49,-49,-48,-40,-29,-20
-70,20,-1,-3,-8,-12,-14,-15,-17,-18,-17,-13,-6,-1
-60,20,0,-3,-7,-11,-13,-14,-16,-17,-16,-12,-6,-1
-50,20,9,9,9,8,6,5,5,5,5,5,6,8
-40,20,21,21,20,18,16,15,14,14,15,17,18,20
-30,20,26,25,23,19,15,11,11,12,16,19,22,24
-20,20,24,24,23,21,19,16,15,18,23,25,25,25
-10,20,25,25,25,26,25,23,22,23,25,25,25,25
0,20,26,27,27,27,26,26,25,25,25,25,25,25
10,20,25,28,31,32,31,29,26,26,26,27,27,25
20,20,15,17,22,27,30,33,32,32,30,26,21,16
30,20,14,15,18,22,26,29,30,30,28,25,19,15
40,20,9,10,12,15,19,23,25,26,22,18,14,11
50,20,-2,-1,3,8,13,17,18,18,14,9,4,-1
60,20,-2,-3,-1,3,8,13,17,16,12,8,3,0
70,20,-6,-5,-3,1,6,10,13,12,8,2,-2,-4
80,20,-12,-13,-13,-10,-3,2,6,5,1,-5,-8,-11
90,20,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,30,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,30,-27,-37,-47,-51,-52,-52,-54,-54,-53,-47,-35,-26
-70,30,-1,-5,-9,-12,-16,-18,-19,-20,-19,-14,-7,-2
-60,30,0,-2,-6,-9,-12,-14,-16,-18,-16,-13,-6,-1
-50,30,8,9,9,7,6,5,5,4,4,5,6,7
-40,30,21,22,20,18,16,14,14,15,16,17,18,20
-30,30,23,23,22,20,17,14,14,16,18,19,20,21
-20,30,23,22,22,20,18,15,15,18,21,23,24,23
-10,30,20,20,20,20,19,17,17,19,21,22,22,21
0,30,23,23,23,23,23,22,22,22,22,23,22,23
10,30,23,25,29,32,33,31,29,27,28,30,27,24
20,30,18,20,24,29,33,35,35,35,33,30,24,20
30,30,14,14,16,19,22,25,27,27,26,23,19,15
40,30,0,2,5,10,15,19,22,22,18,12,6,2
50,30,-5,-4,1,9,15,18,20,19,14,8,2,-2
60,30,-7,-7,-3,4,11,15,18,16,11,5,0,-4
70,30,-9,-9,-6,-1,3,8,12,11,7,1,-3,-7
80,30,-12,-13,-13,-10,-3,3,6,5,1,-4,-8,-11
90,30,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,40,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,40,-27,-37,-47,-51,-52,-53,-54,-55,-54,-47,-35,-26
-70,40,-1,-5,-9,-13,-16,-18,-19,-20,-19,-14,-7,-2
-60,40,0,-1,-5,-8,-12,-13,-15,-17,-16,-12,-6,-1
-50,40,8,9,8,7,6,5,4,4,4,5,6,7
-40,40,8,9,9,7,6,5,5,5,5,5,6,8
-30,40,27,27,26,24,22,20,19,20,22,23,24,26
-20,40,28,28,28,26,24,23,22,22,24,25,26,27
-10,40,28,27,27,27,26,24,24,24,25,26,27,28
0,40,27,28,28,28,27,26,25,25,26,27,27,27
10,40,21,22,23,24,25,25,23,22,23,23,21,20
20,40,24,24,27,30,33,35,35,35,34,31,28,26
30,40,10,12,16,22,27,31,33,33,30,24,17,11
40,40,-3,-1,4,11,15,20,23,23,19,12,5,0
50,40,-7,-6,-1,9,16,20,22,21,15,7,1,-4
60,40,-12,-11,-5,2,9,14,17,14,9,2,-4,-9
70,40,-9,-10,-7,-4,0,5,10,9,6,2,-2,-6
80,40,-20,-20,-19,-15,-7,0,2,2,-1,-7,-13,-17
90,40,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,50,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,50,-29,-40,-52,-56,-57,-57,-59,-59,-58,-51,-38,-28
-70,50,-1,-5,-9,-13,-16,-18,-19,-20,-19,-14,-7,-2
-60,50,1,-2,-7,-12,-14,-14,-16,-17,-15,-12,-5,0
-50,50,8,8,7,6,5,4,4,3,3,4,5,6
-40,50,8,9,8,7,6,5,4,4,4,5,6,7
-30,50,27,27,26,25,23,21,21,21,22,23,25,26
-20,50,27,26,26,25,24,22,21,21,22,23,25,26
-10,50,27,27,27,27,27,25,25,25,25,26,27,28
0,50,27,28,28,28,28,27,26,26,27,27,27,27
10,50,23,24,26,28,31,32,31,31,30,28,26,24
20,50,21,23,26,29,32,33,32,32,31,28,25,22
30,50,14,15,19,25,31,34,35,35,32,27,21,15
40,50,4,4,7,12,18,23,26,26,21,16,11,6
50,50,-11,-11,-4,9,17,22,24,22,15,7,-1,-8
60,50,-14,-12,-5,3,10,15,17,14,8,1,-6,-11
70,50,-12,-13,-10,-6,-1,4,8,8,5,0,-5,-9
80,50,-20,-21,-20,-16,-7,-1,2,2,-1,-8,-14,-18
90,50,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,60,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,60,-29,-40,-53,-57,-58,-58,-59,-60,-58,-51,-39,-29
-70,60,0,-4,-10,-14,-16,-16,-18,-18,-17,-13,-5,-1
-60,60,1,-2,-8,-12,-15,-14,-16,-17,-15,-12,-5,0
-50,60,8,8,7,6,5,4,3,3,3,4,5,6
-40,60,8,9,8,7,5,4,4,4,4,5,6,7
-30,60,27,27,26,25,24,22,21,21,22,23,24,26
-20,60,27,27,26,25,24,22,21,21,22,23,24,26
-10,60,28,28,28,28,27,26,26,25,26,27,27,28
0,60,27,28,28,28,28,27,26,26,27,27,27,27
10,60,23,24,26,28,30,29,26,25,26,27,26,25
20,60,23,23,25,28,30,30,27,26,27,27,26,24
30,60,8,11,16,22,27,30,31,29,26,20,15,10
40,60,0,3,9,17,24,29,32,30,23,15,7,2
50,60,-13,-13,-6,7,16,21,23,21,15,5,-4,-10
60,60,-16,-14,-6,3,9,15,18,14,9,1,-8,-14
70,60,-19,-19,-16,-11,-4,3,8,7,4,-3,-10,-15
80,60,-23,-23,-22,-17,-8,-1,2,2,-1,-9,-16,-20
90,60,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,70,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,70,-30,-41,-53,-58,-59,-59,-60,-61,-59,-52,-39,-29
-70,70,-2,-6,-12,-17,-19,-19,-20,-21,-20,-17,-9,-4
-60,70,3,1,-2,-5,-7,-8,-8,-9,-8,-5,-1,2
-50,70,8,8,7,6,3,2,2,2,2,4,5,7
-40,70,17,18,17,16,14,13,11,11,12,13,14,16
-30,70,19,19,18,16,15,14,13,12,13,13,15,17
-20,70,27,27,27,26,25,23,22,22,23,24,25,26
-10,70,28,28,28,28,27,26,25,25,25,26,27,27
0,70,28,28,29,29,29,28,28,28,28,28,28,28
10,70,27,28,29,30,30,28,28,28,28,28,28,28
20,70,22,23,25,28,29,30,29,28,28,28,27,24
30,70,10,13,18,24,29,31,30,29,27,23,17,12
40,70,0,3,9,16,21,26,28,26,21,14,7,2
50,70,-16,-15,-8,5,13,19,20,18,12,3,-6,-13
60,70,-19,-17,-8,1,8,15,18,14,8,0,-10,-17
70,70,-21,-22,-18,-12,-5,2,8,7,4,-4,-13,-18
80,70,-24,-25,-24,-18,-9,-1,2,2,-1,-9,-17,-21
90,70,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,80,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,80,-29,-41,-55,-59,-61,-60,-62,-62,-61,-53,-39,-29
-70,80,0,-3,-9,-13,-16,-15,-17,-17,-16,-12,-5,0
-60,80,2,1,-2,-5,-7,-8,-9,-9,-8,-6,-2,2
-50,80,6,6,6,5,3,1,1,1,1,3,4,5
-40,80,16,17,17,16,14,13,11,11,12,12,14,15
-30,80,19,20,19,18,16,15,14,14,14,15,16,18
-20,80,27,27,27,26,25,23,22,22,23,24,25,26
-10,80,27,28,28,29,28,28,28,27,27,27,27,27
0,80,27,27,28,28,28,28,27,27,27,27,27,27
10,80,26,27,29,31,31,31,30,30,29,28,27,26
20,80,22,25,29,33,35,32,28,27,28,27,24,21
30,80,9,13,17,23,25,26,25,25,24,20,15,11
40,80,-9,-3,6,15,20,23,24,23,19,11,1,-6
50,80,-15,-15,-7,6,14,20,22,19,13,5,-6,-13
60,80,-21,-19,-10,-2,7,15,18,14,8,-1,-13,-19
70,80,-27,-26,-19,-12,-3,7,14,11,5,-6,-19,-24
80,80,-25,-26,-24,-18,-9,-1,2,2,-1,-9,-18,-22
90,80,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,90,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,90,-30,-42,-55,-60,-61,-61,-63,-63,-61,-53,-40,-30
-70,90,-2,-5,-10,-14,-16,-15,-17,-17,-16,-13,-7,-2
-60,90,-1,-5,-10,-14,-15,-15,-17,-17,-16,-13,-7,-2
-50,90,6,6,6,5,3,1,1,1,1,3,4,5
-40,90,17,17,17,16,14,12,11,11,12,12,14,16
-30,90,20,20,20,18,17,16,14,14,14,15,16,18
-20,90,27,27,27,27,27,26,25,25,25,26,26,26
-10,90,27,27,27,27,27,26,26,26,26,26,26,27
0,90,27,27,27,28,28,28,27,27,27,27,27,27
10,90,26,27,28,29,28,27,27,27,27,27,27,27
20,90,21,23,26,29,29,28,28,28,28,28,25,22
30,90,-9,-7,-3,1,5,9,10,9,7,1,-5,-8
40,90,-8,-1,8,16,21,26,28,26,20,11,2,-6
50,90,-18,-14,-6,3,10,16,18,16,9,1,-8,-15
60,90,-23,-20,-11,-2,6,15,19,14,7,-2,-14,-21
70,90,-29,-27,-19,-11,-2,8,15,11,5,-7,-21,-26
80,90,-27,-27,-25,-19,-9,-1,2,2,-2,-10,-19,-24
90,90,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,100,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,100,-30,-42,-55,-60,-62,-62,-63,-63,-62,-54,-40,-30
-70,100,-2,-5,-10,-14,-15,-15,-16,-17,-16,-13,-7,-2
-60,100,-1,-5,-10,-14,-15,-15,-16,-16,-15,-13,-7,-2
-50,100,2,1,-2,-4,-6,-6,-7,-7,-7,-5,-2,1
-40,100,20,20,20,19,17,15,14,14,15,16,17,19
-30,100,26,27,26,23,20,17,16,17,18,20,22,24
-20,100,28,28,28,27,25,24,23,24,24,25,26,27
-10,100,27,27,27,27,27,26,26,26,26,26,26,27
0,100,27,27,27,27,27,27,27,27,27,27,26,27
10,100,27,28,29,29,29,29,28,28,28,27,27,27
20,100,21,23,27,29,28,28,27,27,27,26,24,21
30,100,-5,-3,0,4,8,11,11,11,9,5,0,-4
40,100,-9,-4,3,11,16,20,22,21,16,8,0,-7
50,100,-23,-19,-11,-2,5,11,13,11,5,-3,-13,-20
60,100,-27,-23,-13,-2,7,15,18,14,6,-3,-17,-25
70,100,-32,-32,-26,-17,-6,6,13,9,2,-12,-25,-29
80,100,-27,-28,-26,-19,-9,-1,2,2,-2,-10,-20,-24
90,100,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,110,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,110,-30,-41,-55,-60,-61,-61,-63,-63,-61,-53,-40,-29
-70,110,-2,-5,-9,-14,-16,-16,-16,-17,-16,-13,-7,-3
-60,110,0,-3,-7,-11,-14,-14,-15,-15,-14,-11,-6,-1
-50,110,19,20,19,18,16,14,14,14,14,15,17,18
-40,110,20,20,20,19,17,15,14,14,15,16,17,19
-30,110,25,26,24,21,18,15,14,14,16,18,21,23
-20,110,29,29,28,26,22,18,17,19,21,23,25,27
-10,110,27,27,28,28,28,27,26,26,26,27,27,27
0,110,26,27,27,27,27,27,27,27,27,27,26,26
10,110,25,26,27,28,29,28,28,28,27,27,27,26
20,110,18,19,22,25,28,29,29,28,27,25,23,19
30,110,5,7,11,17,21,24,27,27,23,17,12,7
40,110,-10,-6,1,9,15,20,22,20,15,8,-1,-8
50,110,-25,-20,-9,1,9,15,18,15,8,-1,-13,-22
60,110,-28,-25,-15,-3,6,15,18,15,6,-3,-18,-27
70,110,-37,-35,-25,-14,-2,9,14,10,2,-12,-29,-34
80,110,-29,-29,-27,-20,-9,0,2,2,-2,-11,-21,-26
90,110,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,120,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,120,-27,-39,-54,-58,-60,-60,-61,-62,-60,-51,-37,-27
-70,120,-12,-16,-23,-29,-36,-37,-37,-35,-32,-26,-18,-12
-60,120,0,-3,-7,-12,-14,-14,-15,-15,-14,-11,-6,-1
-50,120,19,19,18,16,14,12,11,12,12,14,16,17
-40,120,19,19,18,16,14,12,11,12,12,14,16,17
-30,120,26,25,23,19,14,11,10,12,15,18,22,24
-20,120,31,31,31,29,24,21,20,22,25,28,30,31
-10,120,27,27,27,28,27,26,26,26,27,28,29,28
0,120,27,27,28,28,28,27,27,27,28,28,28,28
10,120,27,27,28,29,29,28,27,27,27,27,27,27
20,120,25,25,27,29,29,29,28,28,28,28,27,26
30,120,5,6,10,16,21,25,29,28,24,19,13,7
40,120,-8,-4,4,12,19,22,25,24,18,11,2,-5
